Folder Name,ace_Arab,ace_Latn,acm_Arab,acq_Arab,aeb_Arab,afr_Latn,ajp_Arab,aka_Latn,als_Latn,amh_Ethi,apc_Arab,arb_Arab,arb_Latn,ars_Arab,ary_Arab,arz_Arab,asm_Beng,ast_Latn,awa_Deva,ayr_Latn,azb_Arab,azj_Latn,bak_Cyrl,bam_Latn,ban_Latn,bel_Cyrl,bem_Latn,ben_Beng,bho_Deva,bjn_Arab,bjn_Latn,bod_Tibt,bos_Latn,bug_Latn,bul_Cyrl,cat_Latn,ceb_Latn,ces_Latn,cjk_Latn,ckb_Arab,crh_Latn,cym_Latn,dan_Latn,deu_Latn,dik_Latn,dyu_Latn,dzo_Tibt,ell_Grek,eng_Latn,epo_Latn,eus_Latn,ewe_Latn,fao_Latn,fij_Latn,fin_Latn,fon_Latn,fra_Latn,fur_Latn,fuv_Latn,gaz_Latn,gla_Latn,gle_Latn,glg_Latn,guj_Gujr,hat_Latn,hau_Latn,heb_Hebr,hin_Deva,hne_Deva,hrv_Latn,hun_Latn,hye_Armn,ibo_Latn,ilo_Latn,ind_Latn,isl_Latn,ita_Latn,jav_Latn,jpn_Jpan,kab_Latn,kac_Latn,kam_Latn,kan_Knda,kas_Arab,kas_Deva,kat_Geor,kaz_Cyrl,kbp_Latn,kea_Latn,khk_Cyrl,khm_Khmr,kik_Latn,kin_Latn,kir_Cyrl,kmb_Latn,kmr_Latn,knc_Arab,knc_Latn,kor_Hang,lao_Laoo,lij_Latn,lim_Latn,lin_Latn,lit_Latn,lmo_Latn,ltz_Latn,lua_Latn,lug_Latn,luo_Latn,lus_Latn,lvs_Latn,mag_Deva,mai_Deva,mal_Mlym,mar_Deva,min_Arab,min_Latn,mkd_Cyrl,mlt_Latn,mni_Beng,mos_Latn,mri_Latn,mya_Mymr,nld_Latn,nob_Latn,npi_Deva,nso_Latn,nus_Latn,nya_Latn,oci_Latn,ory_Orya,pag_Latn,pan_Guru,pap_Latn,pbt_Arab,pes_Arab,plt_Latn,pol_Latn,por_Latn,prs_Arab,quy_Latn,ron_Latn,run_Latn,rus_Cyrl,sag_Latn,san_Deva,sat_Olck,scn_Latn,shn_Mymr,sin_Sinh,slk_Latn,slv_Latn,smo_Latn,sna_Latn,snd_Arab,som_Latn,sot_Latn,spa_Latn,srp_Cyrl,ssw_Latn,sun_Latn,swe_Latn,swh_Latn,szl_Latn,tam_Taml,taq_Latn,taq_Tfng,tat_Cyrl,tel_Telu,tgk_Cyrl,tgl_Latn,tha_Thai,tir_Ethi,tpi_Latn,tsn_Latn,tso_Latn,tuk_Latn,tum_Latn,tur_Latn,tzm_Tfng,uig_Arab,ukr_Cyrl,umb_Latn,urd_Arab,uzn_Latn,vec_Latn,vie_Latn,war_Latn,wol_Latn,xho_Latn,ydd_Hebr,yor_Latn,yue_Hant,zsm_Latn,zul_Latn
ace_Arab,0.0,0.0,6440.566222605314,5697.94096182841,9500.209483354,7788.066417578551,6822.512640102845,10846.375514821255,8602.991305660373,6341.788831646293,7077.63195945528,6181.24939744623,6181.24939744623,6409.616883929245,11096.224378962424,7470.260970062006,2519.035813879866,10750.099876468073,3020.504446155169,17843.60494011076,6099.5843194275785,6463.344820839346,6602.015510650931,11461.296990506997,2458.6801302325607,8402.539521197292,7628.062047914756,2333.5656691399,2793.9379492795656,2162.256007663122,2162.256007663122,2791.1676903289167,8873.014745403329,2759.737860471627,8225.53069188877,10145.165852133101,3111.5368186184346,9068.40143646855,8473.066799189592,6279.248580793213,7566.013976753413,10390.949426951958,9477.528668781719,9253.543385423258,7593.877809292309,11175.08813413287,2705.9891272718273,8303.142317010888,10171.350633877862,9956.928562395691,10354.714779767457,10608.57170000852,10321.345133126346,9277.227088549129,8722.17982887419,10508.815769369528,10031.408416289318,9201.212672947528,9443.373975018623,6639.5062193800495,10364.084888204412,10600.983037194976,10875.987826068547,3445.128986237725,17212.051610079598,9697.49313669597,7095.575028535977,3138.678274787628,2408.8743040540758,8970.482704124795,8702.202104350952,6531.723802328443,9913.977634112065,2982.01174050325,1915.0576533247424,10853.05766668705,9224.221369151983,1855.0502247929473,5241.949118671882,9921.878019052216,2386.5627340584874,6553.345340246303,2492.38473396485,4066.6481049848057,4066.6481049848057,6707.981070334962,5739.093439240639,10620.924584783592,13119.122098178625,5008.449991642013,1292.1899832426504,6677.278621282712,7473.778794361109,4780.902735696954,9177.034987456156,6568.2426358585835,9219.802554838912,9219.802554838912,4840.886375714618,1786.9732418672254,9606.49564428012,9724.202695474103,9090.615630380178,8553.3522307559,9483.932264823674,9712.83216370413,8312.94585790884,7176.321566596902,6930.492891791479,2113.661260081758,8594.822529552133,2636.3161473183754,2722.2691603300286,2280.4377052001737,2670.0817154709416,681.4109655086188,681.4109655086188,8461.15786745589,9052.104466832623,2298.7997951603493,10788.933243051837,9404.343159319937,1889.734319802117,9778.323087899596,9504.890542405321,2936.632171314606,7911.614980034915,7118.77937925315,7330.91026662146,9692.231934423236,2270.1085386423592,2920.777303461061,3635.773219132402,17671.34410649202,4447.1113334806505,5525.011858143014,6004.37711687449,8842.173273141174,10979.204573529489,4291.012138875848,18534.36974295267,8347.782095779856,7451.355918444624,7297.3751345078135,8470.11968069932,2773.5516009751054,2519.621922581405,9092.89755593968,1963.4729421409118,1785.5057148108344,8788.07853014015,9068.522003032245,10290.267318456205,7702.926175643595,3827.4106088931967,5710.647916418271,8169.584670494594,10383.793331864323,8490.463407730953,7746.7061699724,1670.1618301929884,9028.966725661305,6684.554834789855,8947.585866053178,2093.9806182373545,10881.508242518925,10881.508242518925,7129.788594973086,2399.0597017758087,4795.974902668847,2980.0952558584218,1222.0276281909219,6436.266533295129,5813.906538566864,8367.604896607318,7648.3333311823135,5296.851612489497,7200.888870931704,7507.036842699753,10620.790801298184,4520.469534602178,8016.271130279618,9264.459974799774,3934.6743519381334,4927.898161190595,9264.2691686959,2104.918879096724,3241.5110020298657,12247.982365494909,8214.19218210443,8786.481760668408,10287.757900107521,2753.0995044799474,573.3965804174828,7954.838091935222
ace_Latn,0.0,0.0,6440.566222605314,5697.94096182841,9500.209483354,7788.066417578551,6822.512640102845,10846.375514821255,8602.991305660373,6341.788831646293,7077.63195945528,6181.24939744623,6181.24939744623,6409.616883929245,11096.224378962424,7470.260970062006,2519.035813879866,10750.099876468073,3020.504446155169,17843.60494011076,6099.5843194275785,6463.344820839346,6602.015510650931,11461.296990506997,2458.6801302325607,8402.539521197292,7628.062047914756,2333.5656691399,2793.9379492795656,2162.256007663122,2162.256007663122,2791.1676903289167,8873.014745403329,2759.737860471627,8225.53069188877,10145.165852133101,3111.5368186184346,9068.40143646855,8473.066799189592,6279.248580793213,7566.013976753413,10390.949426951958,9477.528668781719,9253.543385423258,7593.877809292309,11175.08813413287,2705.9891272718273,8303.142317010888,10171.350633877862,9956.928562395691,10354.714779767457,10608.57170000852,10321.345133126346,9277.227088549129,8722.17982887419,10508.815769369528,10031.408416289318,9201.212672947528,9443.373975018623,6639.5062193800495,10364.084888204412,10600.983037194976,10875.987826068547,3445.128986237725,17212.051610079598,9697.49313669597,7095.575028535977,3138.678274787628,2408.8743040540758,8970.482704124795,8702.202104350952,6531.723802328443,9913.977634112065,2982.01174050325,1915.0576533247424,10853.05766668705,9224.221369151983,1855.0502247929473,5241.949118671882,9921.878019052216,2386.5627340584874,6553.345340246303,2492.38473396485,4066.6481049848057,4066.6481049848057,6707.981070334962,5739.093439240639,10620.924584783592,13119.122098178625,5008.449991642013,1292.1899832426504,6677.278621282712,7473.778794361109,4780.902735696954,9177.034987456156,6568.2426358585835,9219.802554838912,9219.802554838912,4840.886375714618,1786.9732418672254,9606.49564428012,9724.202695474103,9090.615630380178,8553.3522307559,9483.932264823674,9712.83216370413,8312.94585790884,7176.321566596902,6930.492891791479,2113.661260081758,8594.822529552133,2636.3161473183754,2722.2691603300286,2280.4377052001737,2670.0817154709416,681.4109655086188,681.4109655086188,8461.15786745589,9052.104466832623,2298.7997951603493,10788.933243051837,9404.343159319937,1889.734319802117,9778.323087899596,9504.890542405321,2936.632171314606,7911.614980034915,7118.77937925315,7330.91026662146,9692.231934423236,2270.1085386423592,2920.777303461061,3635.773219132402,17671.34410649202,4447.1113334806505,5525.011858143014,6004.37711687449,8842.173273141174,10979.204573529489,4291.012138875848,18534.36974295267,8347.782095779856,7451.355918444624,7297.3751345078135,8470.11968069932,2773.5516009751054,2519.621922581405,9092.89755593968,1963.4729421409118,1785.5057148108344,8788.07853014015,9068.522003032245,10290.267318456205,7702.926175643595,3827.4106088931967,5710.647916418271,8169.584670494594,10383.793331864323,8490.463407730953,7746.7061699724,1670.1618301929884,9028.966725661305,6684.554834789855,8947.585866053178,2093.9806182373545,10881.508242518925,10881.508242518925,7129.788594973086,2399.0597017758087,4795.974902668847,2980.0952558584218,1222.0276281909219,6436.266533295129,5813.906538566864,8367.604896607318,7648.3333311823135,5296.851612489497,7200.888870931704,7507.036842699753,10620.790801298184,4520.469534602178,8016.271130279618,9264.459974799774,3934.6743519381334,4927.898161190595,9264.2691686959,2104.918879096724,3241.5110020298657,12247.982365494909,8214.19218210443,8786.481760668408,10287.757900107521,2753.0995044799474,573.3965804174828,7954.838091935222
acm_Arab,6440.566222605314,6440.566222605314,0.0,2247.8449043232736,3092.2535348915794,6331.758969300383,533.5949174602556,5489.266768883754,2187.4737287930825,2475.3679036878584,653.5721339192448,653.0342403782588,653.0342403782588,395.8699051531137,4674.757986194528,1180.4032054137926,4687.080484904417,4350.25613010387,3809.5047986854115,13021.906882597952,569.4392842996104,848.4488386631347,2440.8770365624437,5615.4654876452,8893.326812725005,2564.3379120526047,5129.868019532195,4659.4939318619445,4072.289404044306,8370.307016484447,8370.307016484447,4493.586829870875,2507.8929884899294,9082.486275129475,1890.7021711664243,3725.705409626883,8693.20113644169,2901.739953511567,5331.803111269932,320.2070872527865,1462.7856612797716,4246.78128941511,3505.9122334306826,3020.095971436452,3169.6688050626553,5505.825420936208,4474.7084097872275,1864.4032712359672,4069.529297594596,3717.765738168743,3962.52030126197,5299.897931172745,4689.482980457622,15254.133007625356,3641.719279679912,5178.601589118868,3748.4293499064993,2885.1535115828647,4120.195149353997,2844.8413430234905,4434.477527028222,4509.20493945765,4476.024799940585,2997.603352970204,11023.526968784863,4298.3552774258815,817.7270345298604,3413.80343382225,4109.81119669859,2648.3185426676296,2450.10265430858,706.4074326670263,4918.977833746414,7939.782942735622,8353.90799829547,5327.524469377108,2830.827225507008,8293.855468120786,8105.324395541508,3484.793878500322,5271.414159840061,3958.348044133053,4014.2791546676517,2873.4769878632032,2873.4769878632032,893.546796346776,2991.1422872141925,5149.640966596951,6958.924267935369,5384.949354758839,6686.313221681582,3834.212333132171,4163.167367177423,2846.126457510616,5597.3016091322725,353.1992693574385,3899.5073392693,3899.5073392693,7336.163796353963,6061.049298668562,3227.9607433695437,3555.1922681986016,5144.09057983682,2796.4876902888623,3150.1648843650687,3493.1317155968936,4888.580312844422,3843.6481927303626,3951.037878298715,4967.760094560391,2956.2325414823586,4178.410564799973,4205.438466810226,4359.558918179723,3770.889936354349,7104.806569674669,7104.806569674669,2061.055241795501,2621.531620157179,4948.820780443268,5107.840697004996,15843.261826713702,5182.145038027901,3647.3328681441826,3895.6739317454017,4028.4140152323216,6645.95361198805,3049.3414084958717,5490.6989170221295,3314.1325233473167,4345.117500203659,7881.977491005772,3094.648162702272,11287.526492269355,2130.4399379182596,953.5076434660926,5925.825994417575,2805.3988915677955,4553.521678960615,2296.0014165363477,13383.974752948046,2121.1188763684368,4296.107866960751,2845.4140336738124,3812.872272632843,3675.5804338391554,4411.055369411525,2652.8821557984684,5518.152726392002,4822.089030539461,2595.6555135498356,2762.7404132096185,15869.902488781341,5822.018468573202,2637.5331045997928,3221.9916907750894,7111.630742160912,3956.0704896894435,2163.270988847915,6733.143411641935,8097.1962722746985,3444.9236095064557,4692.377955851806,2847.690435398138,4458.532459379966,5063.117546146812,5063.117546146812,2485.9312900463947,4042.2955632149974,2343.1083888568323,8116.679222595381,6161.2442998931465,2090.067099254283,11900.109972094344,6726.265383050506,6463.547163623555,1500.9137025353011,5101.747788071504,1132.434425157986,4206.869192338877,3950.646494081407,2077.857370127042,5957.630373352227,2508.3057799805542,2431.1177303880695,2927.0203683400964,6280.329236690125,8567.829949041768,6186.463414015439,7350.390509208299,2755.1253394286477,5011.756488105399,6826.604657841231,6945.868736000907,7073.707739717728
acq_Arab,5697.94096182841,5697.94096182841,2247.8449043232736,0.0,4267.722203172164,4297.893513271377,2127.8674291827638,5204.779512123215,3921.238709135204,696.4387418903482,2470.1030434353484,1594.8797042788945,1594.8797042788945,1881.203533446063,5764.726967479354,2436.4724511531545,4947.73958261282,5876.17159926128,4116.1949091931,12984.483340607465,2547.5531649747513,3028.9461831772123,4534.07650556428,5763.373523967064,8047.9774629445465,4733.415583138246,3234.2480458447103,4792.680002892759,4315.689765452994,7852.077201730471,7852.077201730471,4876.708995467999,4315.094250199197,8449.327242646212,3837.179763111405,5247.677611723181,8589.172295112428,4881.667635307438,3717.7739103284634,2436.9671052825006,3642.9913595102457,6115.82856240833,5545.803197904058,4931.3469659857,1992.2222020560214,5485.672297920473,4800.089164543572,3524.509320665104,5984.837818358778,5551.601969536618,5544.2723185517125,4970.331498339327,6776.595391555056,14956.213866427823,5879.503236055565,4861.934218559144,5531.428886215302,4719.76318523014,3763.4260484507076,1109.8012580149004,6420.947008477156,6394.593657532094,5990.534393635808,2867.2175147085013,12319.553724098683,4014.04395632695,2217.3776321435453,3515.2448113061455,3938.5690222196517,4503.997436388228,4410.482312053338,2919.971757519306,4331.338794053357,8069.621736080961,7450.530550898173,7408.260781123817,4535.459004246734,7394.015038614506,9096.647960954228,4781.791133583585,5544.318455097702,1889.3244565659306,3295.843568406438,3676.814454041572,3676.814454041572,3129.936173307184,4764.566689558317,4949.111354061999,7439.302148236963,6725.537465387145,6431.22963964156,1829.4465564983493,2439.560319498245,4164.353934090619,4220.3461167503965,2599.5967275842036,3534.1796698694925,3534.1796698694925,8342.545997455292,6075.981209518366,4918.258695947219,5467.363231032645,3903.6815318187014,4971.350262389614,4928.629453086974,5367.826676244418,3341.819095653894,2067.110362933558,2028.9679561711303,5049.159388625958,5148.74735979158,4339.454636457873,4451.653658235664,3421.223998135787,3353.689155781171,6253.018605154957,6253.018605154957,3861.135179825409,3970.5746162817,5135.151695692959,5094.346549141994,14484.72520600349,5181.746078465408,5579.665069661465,6038.731871813048,4369.505868820747,4602.374813355765,1571.9813017100398,3450.4047593283626,4995.5857767399175,4250.890918845385,8003.291905591666,3577.3316317310905,12359.656903106907,2846.331533254418,2268.887031797789,3680.862031831853,4875.408744297598,5972.150672711613,2940.1481136594894,13560.837712390856,4146.128869183813,2522.6147581648984,5045.472800220223,2889.8254839404976,3409.6108646750818,4586.387167164382,4098.394318842177,5604.488219300255,3912.850102092334,4589.810152176544,4625.536820571684,15987.740026813295,3834.1194326621335,2795.3322925099937,983.2787168738869,5069.028400327618,5418.325696880646,4078.414182957797,4646.945446032298,7161.681437771571,5620.95899183774,2580.099393228342,4878.221264989615,3626.5690201449834,5183.904714991925,5183.904714991925,4685.19908617521,3564.461873298032,3585.4880791459996,8185.575786647142,5932.833906777079,747.2552080483448,11511.575658473934,4779.811688853265,4385.180908121916,2923.9219619136557,3077.281152760392,3162.121436251181,5298.880988949362,5187.624886381879,4255.746575951868,4497.1277038086755,2566.2722043569524,3788.139359366963,4726.372707931678,6411.181448937662,8587.758027210073,6559.964507615006,5290.460298308609,4832.695448651383,4645.376759451126,7138.569398314227,6268.946048494061,4993.0143374402205
aeb_Arab,9500.209483354,9500.209483354,3092.2535348915794,4267.722203172164,0.0,6544.22423710264,2678.0542831904672,3240.3273175555646,1220.4348863186872,3905.474530484316,2440.73835722025,3326.340582644007,3326.340582644007,3090.6116156281946,1596.4281304997737,2036.8727232914564,7730.716650995782,1664.1520150346284,6873.654677252795,9990.47903984128,3530.411383992754,3338.0997352186587,4273.628726637201,2897.7245238087394,11958.889064686091,2505.8373958383686,5340.548270730306,7727.221035242733,7138.330920493879,11462.485239537165,11462.485239537165,7515.463549932061,1291.0327179059893,12173.691115607975,1712.346439084843,1103.4441362785903,11721.682209694187,1842.7530814204113,4969.90521792976,3307.499444554888,2436.5588759745183,2297.0289851526195,2341.2085533139375,1667.0626830952297,3354.014644987491,2967.638340402292,7511.524559086449,1321.218664114459,2292.9348352938964,1812.6759378123163,1414.3448154467474,3158.2733687367504,3353.061498766822,17934.319052512197,3611.001846489667,3059.9274366153895,1699.088033762163,1402.9669036625598,2529.9288508563927,3924.0273218083166,2789.8513245104764,2551.431280719894,1764.8717445941193,6075.78696504979,8126.7622831640665,2509.1608250061204,2405.9418044894733,6505.035730727728,7201.265833328599,1415.7776948169208,1686.3202298940635,3210.539965165754,3238.4407284035183,10913.449858233022,11401.253919502116,3846.026206343056,1061.3627506783464,11341.418182272835,10511.67630383486,524.8803399954736,8291.686266496179,4919.090604576134,7027.045842546689,5876.641998195622,5876.641998195622,3119.7860052484302,5265.124673331391,2902.1576927377296,3925.249150750188,7742.599538990078,9771.943742374751,4721.1950996765245,4444.00577131419,5606.594901946362,4767.378465419233,3042.7144838896784,2463.0220191906506,2463.0220191906506,9802.478483353929,9118.235736965204,1150.7127150124809,1935.9210493756764,4271.340472246994,2622.2341066406175,1341.911441449929,1786.7775929134514,4580.240043643781,4359.346455932964,4645.467712037552,8036.474085919092,2802.265147330345,7253.2475818527755,7267.132133808769,7320.896786994152,6835.547214092519,10149.906737222042,10149.906737222042,1380.702632622137,503.7165554282064,7999.754330802879,2660.309095212494,18749.07089186833,8258.080738078115,2055.2407012181434,3037.2632031408775,7078.762071364701,6818.792849073305,3682.0528849608004,5917.174198019132,1172.398140973525,7436.725082219692,10860.734110729849,6157.51661043026,8288.134900052608,5206.941812487989,4041.422125465315,7126.197227239623,2133.5524445698943,1711.074793485693,5372.937440255362,10305.595374576558,1869.8064062911028,4596.124524937247,4077.979648698046,3184.2803509141845,6756.338700847607,7478.405077116598,582.9888753805328,8573.778903414124,7807.729045289511,1808.4810167347541,1452.260375982242,17797.949713198337,6037.898748954526,5728.008186373442,4883.691113965895,7190.3830301477965,1200.3875481081313,1580.6677371119258,7012.70214130376,11133.201363487964,2947.1887844994535,5517.955642274773,1999.3521792358097,7456.177617875642,2483.993421186702,2483.993421186702,3885.4222841458,7104.850551189538,5235.82669689659,11106.443971555675,9248.617892278258,3587.6164389815594,14936.837522872012,6635.260817243396,6772.781423634702,4468.429580164996,5594.806938472453,2177.9603908247564,1120.7312840366478,6598.543070922604,2439.43177102378,5146.665925372426,5589.166267831099,5241.863257227319,1319.387117648765,9305.835824995911,11560.775404284257,3240.345112881529,7435.323534904561,2146.8113628895517,3011.760158986042,9772.393495661525,10021.674922289807,7272.161560440428
afr_Latn,7788.066417578551,7788.066417578551,6331.758969300383,4297.893513271377,6544.22423710264,0.0,5989.28860380816,4637.868185368151,7050.716487614597,3871.559388118086,6249.342361298435,5725.246954315612,5725.246954315612,5936.024820919352,7231.09393533801,5865.747697844396,8484.497495724723,8035.139853957009,7870.555542872304,10159.361985712761,6760.213406381366,7177.245128447567,8756.67875203787,5639.205554537678,9167.176778291565,8344.92711096436,1262.443997153352,8248.7561352268,7977.875146496868,9612.670927771029,9612.670927771029,8532.944748426886,7411.11355305171,9829.50113246073,7254.786054229964,7613.08938738094,10809.258637288869,8095.672506645556,1645.962879517037,6595.153006363037,7430.32420277018,8840.111708561992,8740.7195967309,8016.9105364269035,3414.7319488848425,5221.124145792212,8424.000888277322,6719.74076012902,8832.479695020571,8347.056657591707,7906.683264949315,4477.113023095105,9877.332369046064,14405.059576142266,9626.321377464612,4467.511118190998,8241.65179074407,7738.061564608362,4192.208525853322,3486.937048881601,9331.05135335281,9088.163135568695,8092.174578348424,6655.341760668834,11987.73165279455,4337.937109605677,5900.869569019856,7268.428698448374,7346.18136119279,7614.094375797351,7701.3564376242575,7037.988617098228,3850.91008147058,10765.803630063554,8656.253350973018,10390.246253607324,7418.2382754493665,8625.221240251636,12707.515117421528,6988.816887692131,8965.44348738577,2414.875757001651,6390.523393716838,7788.640046320677,7788.640046320677,7210.305554647936,9062.455243754035,4702.1579647267945,7142.417208274283,10847.28059315263,9008.930748332134,2509.932424171985,2260.7804485102583,8408.120856324045,2165.7069022783785,6671.489002494479,4168.102408342305,4168.102408342305,12061.98093418306,9095.052115463172,7656.170114859249,8426.653690251289,2511.555713395253,8566.289151310766,7800.246284788702,8282.794422075176,1975.8308412990152,2518.6222257220957,2380.9269200093295,8393.044895155626,8771.78705512501,7929.189255278989,8085.422206353919,6186.173212526467,6734.675986525744,7963.412412236397,7963.412412236397,7091.312526021588,6613.219776928953,8561.50160193291,5079.404509078634,12476.603819265427,8407.961498544839,8551.416122745277,9405.696613125085,8095.297157538756,314.6867552675871,3343.9718650678715,849.9034454932483,7695.291158916935,7636.625189546867,10703.070106772155,7552.358835089625,11539.597182862623,7039.024370127898,6560.922638185837,1801.3315890718939,8254.80063490747,7913.0914742287105,7096.552224311077,10872.392732945302,7595.763839256887,2108.711738632155,9163.073512499946,3359.967549376519,6907.114103541821,8129.456444602068,6802.780461655651,8819.178762396816,6478.067790264047,7892.502026857256,7712.8368933130205,15379.13568658011,531.0301298611327,6775.476107620108,3391.4834100451876,780.4633957780494,7627.733202982628,7389.680257077537,468.5713635582702,8404.29012284894,9138.508363172195,1726.40629856043,8183.0310160078425,6430.389941140435,5343.687296796025,5343.687296796025,8807.686446276051,6803.608385309012,7841.232235156479,10767.528980502422,8686.508448220997,4243.2813736693,12356.910939820102,597.1941252031412,254.93947313750067,7221.275645277317,1234.2964403431597,6855.008722148546,6969.372704335292,9346.622588560369,7951.959054230569,1961.7873193250202,6559.482773310227,8056.511885664236,7688.968863081858,9488.644996656412,10998.074691072528,6441.670079645181,1019.5997240336116,8234.447486729472,4318.787161539634,10275.204062235369,8266.553406445535,764.6494577706645
ajp_Arab,6822.512640102845,6822.512640102845,533.5949174602556,2127.8674291827638,2678.0542831904672,5989.28860380816,0.0,4956.584489749833,1927.055064880482,2203.3835612839157,346.6480166501226,685.6086263964311,685.6086263964311,413.96454885058665,4273.72185401515,677.2698794704421,5178.8997719620165,4057.053748571807,4293.922173789513,12531.846252753632,1101.2110907216525,1287.134499066555,2860.538798867293,5101.232643827033,9281.126597842596,2608.470961937864,4759.8253775637895,5138.172747238805,4554.328765092576,8805.56137981603,8805.56137981603,4994.350813874749,2291.950287481258,9506.440691035517,1741.1336551982613,3421.0713349663456,9180.233614719607,2789.2511741135395,4895.969638800914,848.1163787279313,1531.9115476955458,4086.6656862765453,3437.9831102022886,2868.148866717058,2724.0879612929293,4981.298084166594,4970.151525068066,1557.398066648278,3931.1199871178214,3535.098314898935,3681.940420694583,4766.500211227949,4660.068133779634,15764.171730039356,3791.812453704414,4645.194774007488,3542.940821454316,2690.597637515953,3587.8005861420984,2522.2672588640426,4338.1713794026955,4359.385666820777,4180.996800671746,3402.6426853040434,10727.527270834391,3764.8379596570503,296.08388001984406,3865.9025942124763,4541.976870476988,2460.2511097107117,2319.5165055416983,1125.1681826149347,4389.082912231545,8443.536797507442,8726.716748248606,5295.2547971093345,2575.290371133435,8666.784906981391,8637.387380733919,3109.8425457182752,5770.052856779901,3670.9346966237795,4357.079619012523,3387.1601827481113,3387.1601827481113,1249.688496659863,3490.874742501599,4617.7563499843545,6485.761637796788,5909.824507903605,7142.260945803127,3528.085903629489,3773.381536130759,3379.6365864235127,5121.538679050001,754.094923775537,3368.1603764179586,3368.1603764179586,7868.735324593936,6542.029127411805,2974.9158811425327,3410.1383572380487,4657.463090915064,2846.7398962471366,2933.485016079853,3327.76080319514,4448.438058767442,3475.740670455829,3616.2097281800657,5444.718465176735,3028.3240231390214,4653.241916458748,4689.750189690476,4670.602390780181,4157.7894188552455,7475.081173738977,7475.081173738977,1829.339836257592,2236.422843033561,5436.346111277356,4581.685949197559,16189.10643771958,5652.655886304613,3514.211007396659,3911.2222304018414,4519.660967131598,6303.906379795176,2659.5965454528646,5161.304150001388,3059.1831719805814,4792.173257915905,8384.757717525386,3583.519414717576,10944.31506690245,2615.724564739743,1440.6405575050082,5741.849782498971,2755.726584451951,4230.864216184399,2779.386205865171,12919.372881863901,2031.3356523029768,3913.6589062628564,3178.623421913301,3315.661445513068,4083.32215252376,4890.881701918674,2297.517638672627,6001.494192353362,5149.147601158106,2489.1336963931994,2580.530955863792,16402.83989243597,5469.324755774015,3070.3310930810558,3055.326713189556,6764.70572886536,3636.7922561097,1999.3163955675213,6408.250268167587,8461.758945308722,3494.993562527061,4406.317042805181,2768.7371654493304,4792.147946450601,4543.53197542537,4543.53197542537,2827.8202947102186,4426.868367117029,2874.648680025051,8616.342315649865,6615.484494757176,1798.9593183295049,12376.04359826066,6349.693620545522,6137.849210752208,2030.604280797946,4772.561493048594,1035.0140136259492,3798.7852904030415,4483.5056548785415,2135.6747516220985,5489.072140044584,2919.0519924867244,2964.710932314387,2716.0081085885076,6774.295508413098,9065.64101347533,5695.5383262596215,7008.40269184756,2711.238363743475,4478.173998081834,7338.3600298587035,7344.305124442181,6743.160199651983
