Abstract Feature,SHAP value
Model Size,2.3579970876394163
Token Similarity,2.1531389738402336
Pre-train Data Percentage,1.775823564636777
Country Similarity,0.5975898567044043
Language Family,0.25802649399027155
Geographical Features,0.1407153755693429
Script,0.05496298610184045
Resource Level,0.03846803303509248
Digital Language Support,0.03570958900401404
Language Vitality,0.0022237377815558785
Population,0.0012403500639532343
