Abstract Feature,SHAP value
Pre-train Data Percentage,1.9407027561315018
Token Similarity,0.9869564385876364
Model Size,0.8078753411464191
Country Similarity,0.43779344406304194
Geographical Features,0.13199663626806082
Script,0.07690673498903022
Resource Level,0.034248122617771326
Language Family,0.023324262767497304
Digital Language Support,0.02085598004579683
Language Vitality,0.0057306059300575125
Population,0.002752910729716605
