Abstract Feature,SHAP value
Model Size,1.5239650429608624
Token Similarity,0.9594443801385699
Pre-train Data Percentage,0.6746966192392018
Country Similarity,0.3421653654781742
Language Family,0.1771646584871619
Geographical Features,0.0889770903260877
Digital Language Support,0.05074069663749748
Resource Level,0.04094572641895996
Language Vitality,0.03351999902443197
Script,0.024074078700066674
Population,0.0017086732930557344
