Abstract Feature,SHAP value
Model Size,0.15061138042484873
Token Similarity,0.028039340045818106
Pre-train Data Percentage,0.024308161758699806
Country Similarity,0.02113309296422084
Language Family,0.01841094941699591
Geographical Features,0.013061151894223045
Resource Level,0.0008913954011618349
Script,0.0005101907831954001
Instruction Tune Data,0.0004711107467002685
Population,0.0
Language Vitality,0.0
Digital Language Support,0.0
