Abstract Feature,SHAP value
Model Size,0.10626083709070493
Token Similarity,0.062174569201923824
Country Similarity,0.030260967445810256
Pre-train Data Percentage,0.017428290294891638
Language Family,0.008405836554901897
Geographical Features,0.005524567266209753
Resource Level,0.00433697464519585
Script,0.0024829603051480333
Digital Language Support,9.469458143501347e-05
Population,1.0810417529100027e-05
Language Vitality,0.0
