Abstract Feature,SHAP value
Model Size,1.5299230882567887
Token Similarity,1.0415971761075087
Pre-train Data Percentage,0.5941523204377831
Country Similarity,0.40655106723005496
Language Family,0.30539305659708804
Resource Level,0.16927432874668955
Geographical Features,0.09853059827066385
Language Vitality,0.043127191567244004
Digital Language Support,0.033820151586697225
Script,0.0073321696326900465
Population,0.005640350272821669
