Abstract Feature,SHAP value
Pre-train Data Percentage,3.035722944643881
Model Size,1.7004515576285135
Token Similarity,1.1324945882530904
Country Similarity,0.8901379671529767
Geographical Features,0.32568573001690504
Language Family,0.15839502002568345
Script,0.13719768569303026
Resource Level,0.015629119956112488
Digital Language Support,0.005586503375101012
Population,0.000931135830719611
Language Vitality,0.0009246133491277472
