Abstract Feature,SHAP value
Pre-train Data Percentage,0.049200266857148116
Token Similarity,0.04870809953918526
Country Similarity,0.027659746110087233
Model Size,0.022959582175918185
Script,0.017657877130316114
Geographical Features,0.004778773355152634
Language Family,0.0022664093484620527
Digital Language Support,0.0006510840861044244
Resource Level,0.0005994465602477432
Population,0.00013278347018840588
Language Vitality,9.452443760582575e-05
