Abstract Feature,SHAP value
Token Similarity,0.052586121253760346
Pre-train Data Percentage,0.03800345286589566
Model Size,0.023423488312347824
Country Similarity,0.01879184079241813
Script,0.010413048887085805
Geographical Features,0.005617950430913205
Language Family,0.0009672248219863733
Digital Language Support,0.0007263427620622285
Resource Level,0.00022344903908192484
Population,2.418808615169464e-05
Language Vitality,0.0
