Abstract Feature,SHAP value
Model Size,0.10973223905753815
Token Similarity,0.07384377889294666
Country Similarity,0.02903336364321604
Pre-train Data Percentage,0.01612473884179659
Geographical Features,0.009777142833415315
Resource Level,0.004425584040388808
Language Family,0.0031985637782071053
Script,0.0018736441328768604
Digital Language Support,0.0010255823536828995
Language Vitality,0.0001362911687631613
Population,2.9857407307300333e-05
