Abstract Feature,SHAP value
Token Similarity,0.04894985696438976
Model Size,0.018759231525188866
Pre-train Data Percentage,0.015875332481665755
Country Similarity,0.010978991984763747
Script,0.005755108398544696
Geographical Features,0.003927833367897829
Language Family,0.0015006875854798956
Resource Level,0.0012028408041288346
Digital Language Support,0.0005335064010690769
Language Vitality,0.000252207569611389
Population,0.00018274413124349604
