Model,R2 Score,MSE
Linear Regression,0.6578294804643723,0.010779429423292944
Random Forest,0.8871399502488285,0.0035554405524272845
Decision Tree,0.827536925886284,0.005433120124012821
SVR,0.01327987094010008,0.031084735196295066
Gradient Boosting,0.8636073979534711,0.004296788716968219
XGBoost,0.9022878993075165,0.0030782333166684416
K-Nearest Neighbors,-0.05175293286018179,0.03313346961010538
Lasso Regression,-0.060649073464470016,0.033413725547740684
Ridge Regression,0.6039866504923734,0.012475645059932827
Elastic Net,-0.06129862168180722,0.033434188325116465
