Model,R2 Score,MSE
Linear Regression,0.5735336724131357,20.081129709962774
Random Forest,0.8198866212185498,8.481045015384614
Decision Tree,0.6505592794958546,16.45420512820513
SVR,-0.042982766642432724,49.11119792438129
Gradient Boosting,0.8441246168794212,7.339744276520686
XGBoost,0.8657434326557343,6.32177353487636
K-Nearest Neighbors,0.04141034098229579,45.13735794871795
Lasso Regression,0.141187387486851,40.43913048426039
Ridge Regression,0.5836312036519229,19.60566465811718
Elastic Net,0.14118669622371804,40.43916303394541
