Model,R2 Score,MSE
Linear Regression,0.5934223321303824,0.01746198157537252
Random Forest,0.8046268242515797,0.008391023572733398
Decision Tree,0.6859999645734698,0.01348589277422564
SVR,0.24788016088880027,0.03230256802310057
Gradient Boosting,0.8002908133122857,0.00857724959820425
XGBoost,0.8471594351397638,0.006564303301613808
K-Nearest Neighbors,0.219342204608038,0.03352823609627487
Lasso Regression,0.2777722931049633,0.031018739856289824
Ridge Regression,0.599428578982637,0.017204021091657893
Elastic Net,0.2781491889595247,0.03100255266995795
