Model,R2 Score,MSE
Linear Regression,0.6268141213485234,0.008579088540752974
Random Forest,0.8377182871258422,0.0037306588028553846
Decision Tree,0.742871830968334,0.005911063238554382
SVR,0.03281595798247561,0.02223438239853896
Gradient Boosting,0.8072095554423213,0.0044320173626293995
XGBoost,0.8545788379086503,0.003343055288664907
K-Nearest Neighbors,-0.0660064680995276,0.0245061895372043
Lasso Regression,-0.01748338713390063,0.023390703041899337
Ridge Regression,0.5706505534515057,0.009870220518989205
Elastic Net,-0.017804228696041813,0.023398078798396636
