Model,R2 Score,MSE
Linear Regression,0.5937713370432075,186.30659250516015
Random Forest,0.8903529546258769,50.28686861538455
Decision Tree,0.7513402984412199,114.04153846153844
SVR,0.4229077081307918,264.66891251979723
Gradient Boosting,0.9183586073872214,37.442778051042005
XGBoost,0.8941358376752877,48.55194413799427
K-Nearest Neighbors,0.6389554522901921,165.5840307692308
Lasso Regression,0.740585127729203,118.97412788686975
Ridge Regression,0.6515925027993232,159.78836435186076
Elastic Net,0.731273571822729,123.24463957166678
