Model,R2 Score,MSE
Linear Regression,0.4021650089942168,10.740439158963513
Random Forest,0.38017549243981097,11.135493092307694
Decision Tree,-0.2482916760559042,22.426256410256414
SVR,-0.00239750476280598,18.008630433104926
Gradient Boosting,0.5526251373562059,8.037339007861533
XGBoost,0.5052222748480298,8.888957879940655
K-Nearest Neighbors,0.07885247414901564,16.548929230769232
Lasso Regression,0.19363763528188205,14.486749769802472
Ridge Regression,0.44503507676983733,9.970254473202555
Elastic Net,0.19081800060572174,14.537406079897092
