Model,R2 Score,MSE
Linear Regression,0.4566657121523321,18.645294830916466
Random Forest,0.8854053763179228,3.932478756410259
Decision Tree,0.5659756784591408,14.894166666666669
SVR,-0.09243792341059409,37.4885730977011
Gradient Boosting,0.8763513658428909,4.24318010268073
XGBoost,0.9019323962519853,3.3653303797309237
K-Nearest Neighbors,-0.08517531129961031,37.23934615384615
Lasso Regression,0.12128578838237158,30.15433760425677
Ridge Regression,0.4592516499109899,18.556554670387357
Elastic Net,0.1182971933320045,30.256895526866536
