Model,R2 Score,MSE
Linear Regression,0.35406430793907384,0.009051856155483512
Random Forest,0.6449682341194392,0.004975257622201519
Decision Tree,0.33079949313530477,0.009377878946414559
SVR,-0.018165274986063018,0.014268116354240499
Gradient Boosting,0.6234153957962896,0.005277289534420328
XGBoost,0.6309405718137544,0.0051718350569978895
K-Nearest Neighbors,-0.07513490186616534,0.01506646342514615
Lasso Regression,0.0006753610140944888,0.01400409204184012
Ridge Regression,0.38614093256735105,0.00860234857190007
Elastic Net,0.00010810678689854303,0.014012041290861775
