Model,R2 Score,MSE
Linear Regression,0.6794451038354326,0.003073430735898779
Random Forest,0.902794500987548,0.0009319912811747317
Decision Tree,0.8418841778818353,0.0015159900327349493
SVR,0.2477722420531211,0.007212243329714307
Gradient Boosting,0.8926856556288576,0.0010289133260462493
XGBoost,0.8657272299767838,0.0012873865391585186
K-Nearest Neighbors,0.3691007751508575,0.0060489641309693365
Lasso Regression,0.31375398087218653,0.006579620629138079
Ridge Regression,0.6950806951194077,0.002923519106405371
Elastic Net,0.313220355375853,0.006584736947813956
