Abstract Feature,Importance
Pre-train Data Percentage,0.50991666
Token Similarity,0.18113688
Language Family,0.13998692
Country Similarity,0.079640664
Geographical Features,0.02882934
Digital Language Support,0.027632847
Resource Level,0.012635229
Model Size,0.0118013155
Language Vitality,0.00644275
Script,0.0017448617
Population,0.00023252078
