Abstract Feature,Importance
Token Similarity,0.2856942
Geographical Features,0.14440805
Model Size,0.13231564
Digital Language Support,0.13036866
Country Similarity,0.12233432
Script,0.08595704
Pre-train Data Percentage,0.059610114
Language Family,0.033247273
Language Vitality,0.005444333
Resource Level,0.00033518655
Instruction Tune Data,0.00028517912
Population,0.0
