Abstract Feature,Importance
Pre-train Data Percentage,0.436894533716055
Model Size,0.25265825525929547
Token Similarity,0.16950248131732976
Country Similarity,0.11190702607062453
Geographical Features,0.017390361296036022
Language Family,0.008373057984025293
Language Vitality,0.001668738003748896
Resource Level,0.0007226759847423042
Script,0.0005540617475999773
Population,0.0003288086205427474
Digital Language Support,0.0
