Abstract Feature,Importance
Pre-train Data Percentage,0.4236667793186021
Model Size,0.238905571918866
Token Similarity,0.16552594352973077
Country Similarity,0.12208476715794349
Geographical Features,0.03585960207915385
Language Family,0.0051646094177994735
Language Vitality,0.0033910216715730373
Script,0.002917728455140337
Resource Level,0.0011757156439081058
Population,0.0008253663062219598
Digital Language Support,0.0004828945010609934
