Abstract Feature,Importance
Script,0.5249923
Pre-train Data Percentage,0.22700176
Token Similarity,0.13155055
Country Similarity,0.0595701
Language Family,0.02814779
Geographical Features,0.014579884
Resource Level,0.006798811
Population,0.0030885944
Model Size,0.0019968858
Language Vitality,0.0017005758
Digital Language Support,0.00057288934
