Abstract Feature,Importance
Token Similarity,0.45593261312525274
Pre-train Data Percentage,0.19840897248055278
Country Similarity,0.15230628871795265
Script,0.08402920926599586
Model Size,0.06405050488798321
Geographical Features,0.03250101170354763
Digital Language Support,0.008858159136444924
Language Family,0.00326522066177765
Population,0.00032900864890030826
Resource Level,0.00031901137159222673
Language Vitality,0.0
