Abstract Feature,Importance
Pre-train Data Percentage,0.3869540430181589
Token Similarity,0.30743469860810785
Country Similarity,0.1341204891221535
Model Size,0.09100109226852193
Geographical Features,0.039294528409843175
Language Family,0.031731107899459564
Script,0.0030815106122006023
Digital Language Support,0.0024997388806507785
Resource Level,0.0024965622544756965
Language Vitality,0.000970734697535914
Population,0.00041549422889205286
