Abstract Feature,Importance
Model Size,0.42160953827525605
Token Similarity,0.36568247416351424
Country Similarity,0.09662980557470885
Pre-train Data Percentage,0.072137356796588
Geographical Features,0.01308209721437087
Script,0.011764857785462395
Language Family,0.010091649714255425
Resource Level,0.008831789879010189
Digital Language Support,0.00014413212677470672
Population,2.6298470059328654e-05
Language Vitality,0.0
