Abstract Feature,Importance
Script,0.6464053
Pre-train Data Percentage,0.13881189
Token Similarity,0.09044461
Language Family,0.057294894
Country Similarity,0.03026469
Resource Level,0.017002145
Geographical Features,0.01288788
Model Size,0.0022341725
Language Vitality,0.0020963298
Population,0.0017816409
Digital Language Support,0.00077649695
