Abstract Feature,Importance
Pre-train Data Percentage,0.7786003
Token Similarity,0.06878737
Script,0.05214438
Country Similarity,0.05070993
Geographical Features,0.0230804
Language Family,0.017253693
Model Size,0.00915484
Resource Level,0.00010345268
Language Vitality,9.255708e-05
Digital Language Support,6.102634e-05
Population,1.2121317e-05
