Abstract Feature,Importance
Model Size,0.3824072493988348
Token Similarity,0.36983663002056366
Country Similarity,0.10836846345341945
Pre-train Data Percentage,0.06663455342421572
Geographical Features,0.04379938502759887
Language Family,0.010452200727291442
Script,0.009695924545579847
Resource Level,0.005105920735084474
Digital Language Support,0.002419659481254761
Language Vitality,0.001043376009356204
Population,0.00023663717680083715
