Abstract Feature,Importance
Pre-train Data Percentage,0.2735673
Token Similarity,0.26927036
Country Similarity,0.20512007
Model Size,0.09369927
Resource Level,0.09341254
Geographical Features,0.05104325
Instruction Tune Data,0.010107056
Language Family,0.002093179
Language Vitality,0.0016870667
Script,0.0
Population,0.0
Digital Language Support,0.0
