Abstract Feature,Importance
Token Similarity,0.3293525914432873
Pre-train Data Percentage,0.32714630480867407
Model Size,0.17543422076326684
Country Similarity,0.10896825378084023
Geographical Features,0.03486951132811469
Language Family,0.012761656335910074
Script,0.005966871062620491
Digital Language Support,0.0027667425867977853
Resource Level,0.0022595044596951954
Language Vitality,0.00023918630732573776
Population,0.00023515712346765407
