Abstract Feature,Importance
Model Size,0.7271613673004677
Token Similarity,0.08296814092253947
Geographical Features,0.07144759781286697
Country Similarity,0.05170192871458114
Pre-train Data Percentage,0.02522165249961625
Digital Language Support,0.01527742975706992
Population,0.009098777175874206
Script,0.008153020188628447
Instruction Tune Data,0.003851673049831011
Language Family,0.0030667780902883576
Resource Level,0.0020516344882365554
Language Vitality,0.0
