Abstract Feature,Importance
Digital Language Support,0.5949993
Pre-train Data Percentage,0.25937834
Model Size,0.04780919
Token Similarity,0.038179804
Geographical Features,0.02878479
Country Similarity,0.028219081
Language Family,0.0020394502
Instruction Tune Data,0.0004918847
Resource Level,9.810695e-05
Script,0.0
Population,0.0
Language Vitality,0.0
